Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
The Particular Sadness of Lemon Cake,Aimee Bender,3.23,63708,"2,096",24
"Wonder (Wonder, #1)",R.J. Palacio,4.38,1006317,"2,096",26
For the Love of Armin,Michael G. Kramer,4.29,1109,"2,091",23
"Quantum Roots (Quantum Roots, #1)",Kyle Keyes,4.28,3307,"2,089",23
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.1,14352,"2,058",21
The Adventures of Huckleberry Finn,Mark Twain,3.83,1233099,"2,039",26
Let the Great World Spin,Colum McCann,3.95,102285,"2,032",22
"Love on the Line (Women at Work, #1)",Kirsten Fullmer,4.28,4256,"2,018",22
The Pale King,David Foster Wallace,3.97,17245,"2,011",21
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.08,347848,"2,010",23
The Ancestor,Lee Matthew Goldberg,4.26,3517,"1,994",22
"The Threat Below (Brathius History, #1)",Jason Latshaw,4.12,1573,"1,986",22
Crime and Punishment,Fyodor Dostoevsky,4.25,809870,"1,983",24
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24,1077917,"1,981",24
Pleasant Day,Vera Jane Cook,4.31,1227,"1,962",22
The Seventh Spark: Volume One – Knights of the Trinity,J.B. Lion,4.29,2520,"1,958",22
The Arbitrator,Max Nowaz,4.28,8404,"1,957",22
American Psycho,Bret Easton Ellis,3.81,284728,"1,953",23
Median Gray,Bill Mesce Jr.,4.28,2136,"1,949",21
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,888964,"1,924",24
"Appellate Judge (Jack Ludefance, #3)",Behcet Kaya,4.3,5844,"1,918",22
A Decade of Desire: Erotic Tales from the Charlie Doyle Diaries,Charles Dyson,4.34,723,"1,908",21
"Succubus Revealed (Georgina Kincaid, #6)",Richelle Mead,4.27,21724,"1,902",20
"Deeper Than Midnight (Midnight Breed, #9)",Lara Adrian,4.29,20939,"1,899",21
Invisible Monsters,Chuck Palahniuk,3.99,136890,"1,893",22
The Search for Mother Missing: A Peek Inside International Adoption,Janine Vance,4.46,920,"1,892",20
"Dreams of Joy (Shanghai Girls, #2)",Lisa See,4.09,61928,"1,891",20
Factotum,Charles Bukowski,3.93,66057,"1,883",21
"Touch of Frost (Mythos Academy, #1)",Jennifer Estep,3.95,31895,"1,880",21
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.14,1585493,"1,879",22
"Demonglass (Hex Hall, #2)",Rachel Hawkins,4.09,92288,"1,875",21
The Book of Lost Things,John Connolly,3.96,75642,"1,868",22
"Love on the Line 2 (Women at Work, #2)",Kirsten Fullmer,4.3,6781,"1,868",21
"The Selection (The Selection, #1)",Kiera Cass,4.09,1386609,"1,860",21
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,409846,"1,857",25
"Revelations (Bloodlines, #3)",Lindsay Anne Kendal,4.05,273,"1,856",19
"Torment (Bloodlines, #2)",Lindsay Anne Kendal,3.98,337,"1,854",19
"The Physick Book of Deliverance Dane (The Physick Book, #1)",Katherine Howe,3.72,55582,"1,844",20
Dark Places,Gillian Flynn,3.95,695229,"1,844",22
Shantaram,Gregory David Roberts,4.27,200650,"1,830",20
"Neverwhere (London Below, #1)",Neil Gaiman,4.17,497805,"1,823",23
Under the Bus,Kyle Keyes,4.19,354,"1,784",20
"Naamah's Blessing (Naamah Trilogy, #3)",Jacqueline Carey,4.23,9858,"1,763",18
Ulysses,James Joyce,3.75,122061,"1,757",19
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.01,1458494,"1,753",23
"Evertaster (Evertaster, #1)",Adam Glendon Sidwell,3.89,528,"1,750",18
Battle Hymn of the Tiger Mother,Amy Chua,3.65,51177,"1,748",19
Maine,J. Courtney Sullivan,3.39,34582,"1,741",19
The Invisible Bridge,Julie Orringer,4.18,51434,"1,732",20
Mystic River,Dennis Lehane,4.16,139197,"1,718",22
"Problems at the Pub (Sugar Mountain, #4)",Kirsten Fullmer,4.34,5333,"1,717",19
"Hades (Halo, #2)",Alexandra Adornetto,3.95,32441,"1,716",20
The Outsiders,S.E. Hinton,4.12,1207881,"1,714",21
"Treacherous Estate (Jack Ludefance, #1)",Behcet Kaya,4.25,5070,"1,709",19
Denali Skies,Danielle Rohr,3.78,112,"1,700",17
"Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC",Zack Love,3.47,829,"1,700",17
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao  Wang,4.3,116,"1,700",17
"Supreme Betrayal (Zachary Blake Legal Thriller, #6)",Mark M. Bello,4.33,4091,"1,696",20
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,300117,"1,666",18
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,4.25,47114,"1,659",17
My Name Is Memory,Ann Brashares,3.71,32350,"1,658",19
The Rose Garden,Susanna Kearsley,4.03,31451,"1,656",18
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,2414166,"1,655",21
The Ocean at the End of the Lane,Neil Gaiman,4.01,573656,"1,649",19
"Night  (The Night Trilogy, #1)",Elie Wiesel,4.36,1160780,"1,644",19
"Reached (Matched, #3)",Ally Condie,3.55,159825,"1,641",19
Memoirs of a Geisha,Arthur Golden,4.14,1920513,"1,636",22
Madame Bovary,Gustave Flaubert,3.7,309471,"1,635",21
Where There's Smoke (Sugar Mountain #2),Kirsten Fullmer,4.3,3806,"1,634",18
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,162288,"1,632",21
Emma,Jane Austen,4.04,815006,"1,628",20
Swamplandia!,Karen Russell,3.27,55768,"1,619",19
"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.88,207884,"1,617",20
"Insatiable (Insatiable, #1)",Meg Cabot,3.43,22970,"1,613",19
"Broken Promises (Past Imperfect Mystery, #1)",Anne  Willow,4.25,2789,"1,608",18
Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.54,2131,"1,600",16
The Lovely Bones,Alice Sebold,3.84,2257783,"1,598",19
